sentence,brand_name,info,index,content,total,thank_you
2x 0.20 0.40 SR,0,0,0,1,0,0
Total OTY: 4,0,0,0,0,1,0
101a1 (Excluding GST) : 6A,0,0,0,0,1,0
AST payable (6%): UL 34,0,0,0,1,0,0
total (tínclusive of 6SI): _ 6.00,0,0,0,0,1,0
TOFAI.: / 6.00,0,0,0,0,1,0
CASH: 6.00,0,0,0,0,1,0
GST Summary Anount (RM) — Tax(RM),0,0,1,0,0,0
SR (@ 6%) 5.66 0.34,0,0,0,0,1,0
BOON SENG PAPER SDN BHD (1248717-W),1,0,0,0,0,0
"12, JALAN BUNGA TANJUNG,",1,0,0,0,0,0
"2/16 SEKSYEN 2,",1,0,0,0,0,0
"40000 SHAH ALAM, SELANGOR",1,0,0,0,0,0
Tel :03-55190823 Fax: 03-55190823,0,1,0,0,0,0
GST ID : 001005957120,0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
Qw RM Tax,0,0,1,0,0,0
‘TAPE @ 2:50 12 30.00 SR,0,0,0,0,1,0
'Total Amtlncl.GST @ 6%: 31.80,0,0,0,0,1,0
Rounding Adjustment: 0:00',0,0,0,0,1,0
Total Amt Payable : 31.80,0,0,0,0,1,0
Paid Amount: 31.80,0,0,0,1,0,0
Change: 0.00,0,0,0,0,1,0
Total Qty Tender : 12,0,1,0,0,0,0
Tol... 80000 1 BO,0,0,0,1,0,0
THANK YOU,0,0,0,0,0,1
Goods Sold areinot'returnable,0,0,0,0,0,1
RESTORAN WAN SHENG,1,0,0,0,0,0
002043319-W,0,1,0,0,0,0
"Na.2, Jalan Temenggung 19/8,",0,1,0,0,0,0
"Saksyen 9, Bandar Mahkota Cheras,",0,1,0,0,0,0
"43200 Pheras, Se]angor",0,1,0,0,0,0
GST REG NO: 001335787520,0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
INV No.: 1203856 Cashier: Nicole,0,1,0,0,0,0
Date +: 21-06-2018 16:54:22,0,1,0,0,0,0
Description Qty U.price Total TAX,0,0,1,0,0,0
Teh (Bì,0,0,0,1,0,0
"1x 2.16 2,10 ZRL",0,0,0,1,0,0
Chan (B),0,0,0,1,0,0
"1X 2.10 2,10 ZRL",0,0,0,1,0,0
Take Away,0,0,0,1,0,0
"2% 0,20 0.40 7RỊ.",0,0,0,1,0,0
Total OTY: 4,0,0,0,0,1,0
"Total (Excluding GST): 4,60",0,0,0,0,1,0
"|. Total (Inclusive of GST); 4,60",0,0,0,0,1,0
TOTAL: 4.60,0,0,0,0,1,0
"| CASH : 4,80",0,0,0,0,1,0
| GST Summary Amount(RM) — Tax(RM),0,0,1,0,0,0
L/jRU (W0) 4680 0.00,0,0,0,1,0,0
POPULAR BOOK,1,0,0,0,0,0
CO. (M) SDN BHD,1,0,0,0,0,0
(Co. No. I13825-W),0,1,0,0,0,0
(GST Reg No. 001492992000),0,1,0,0,0,0
"No 8, Jalan 771188, Desa Tun lazak",0,1,0,0,0,0
"56000 Kuala Lumpur, Malaysia",0,1,0,0,0,0
EMPIRE SHOPPING GALLERY,1,0,0,0,0,0
Tel : 03-56319320,0,1,0,0,0,0
(05/03/18 15:02 Slip No.: 1010104759,0,1,0,0,0,0
Li Fong Trans: 104610,0,0,0,1,0,0
Member Card No: 1001016668849,0,1,0,0,0,0
Card Expiry: 31/05/18,0,1,0,0,0,0
2pc ® 5.50 11.00 T,0,0,0,1,0,0
Member Discount “1.10,0,1,0,0,0,0
Total RM fncl. of GST 9.90,0,0,0,0,1,0
Cash ~20.00,0,0,0,0,1,0
CHANGE 10.10,0,0,0,0,1,0
Item Count Š : độ,0,0,0,0,1,0
GST) Summary Amount (RM)  Tax (RM},0,1,0,0,0,0
T @ 6% 9.34 0.56,0,0,0,0,1,0
"Total Savings -1,.10:",0,0,0,0,1,0
BE A POPULAR CARD MEMBER,0,1,0,0,0,0
THANK YOU. PLEASE COME AGAIN.,0,0,0,0,0,1
"M4-A-B, JALAN PANDAH INDAH 4/1A,",0,1,0,0,0,0
"PANDAH INDAH, 55100 KUALA LUMPUR.",0,1,0,0,0,0
TEL:012-2673122 / 010-2022283,0,1,0,0,0,0
GUEST CHECK,0,1,0,0,0,0
Table 6,0,1,0,0,0,0
Check #: 113355 Pax(s): 0,0,1,0,0,0,0
Date ; 30-04-2018 18:50:14,0,1,0,0,0,0
Server : CASHIER,0,1,0,0,0,0
KUO POH (C) (2 PAX) 6.00,0,0,0,0,1,0
2T EA EXTRA PERSON (1 PAX) 2.00,0,0,0,1,0,0
"TONG HOU 10,00",0,0,0,1,0,0
"MUTTAN SLICE 15,00",0,0,0,1,0,0
SOUP 0.00,0,0,0,0,1,0
"T0M YUM 0,00",0,0,0,1,0,0
| 3 NO. OF HEAD (2 SET ABOVE) 60.00,0,0,0,1,0,0
| Subtotal : 93.00,0,0,0,0,1,0
| TOTAL: 93.00,0,0,0,0,1,0
HOW MWA HARDWARE TRADING,1,0,0,0,0,0
Company Reg. Na. ; 00105513934X,0,1,0,0,0,0
"NO 37, JALAN MANIS 7, TAMAN SEGAR,",0,1,0,0,0,0
"56100 CHERAS, KUALA LUMPUR.",0,1,0,0,0,0
+604-3140 2674,0,1,0,0,0,0
GST Reg : 001125220352,0,1,0,0,0,0
TAX INVOICE,0,1,0,0,0,0
CB: 87870 21/09/2017 10:20:37 AM,0,1,0,0,0,0
Cashier cash1+.,0,1,0,0,0,0
"0. 3/4"" ALUMINIUM ROD 6.00 5.40 SR",0,0,0,1,0,0
5 PVO WALLPLUG 100 5.00 Sl\,0,0,0,1,0,0
5.9 Type: 2 Total 10.40,0,0,0,0,1,0
Discount: 0.00,0,0,0,0,1,0
Rounding Adj 0.00,0,0,0,0,1,0
CASH 40.40,0,1,0,0,0,0
GST Surnrrrary,0,0,0,0,1,0
SR SR 981 £049 1040,0,1,0,0,0,0
Total 981 0.59 40.40,0,0,0,0,1,0
Thank you | & Please come again II,0,0,0,0,0,1
Goods sald are nol returnable for refund or exchange II,0,0,0,0,0,1
RESTORAN WAN SHENG,1,0,0,0,0,0
002043319-W,0,1,0,0,0,0
"No.2, Jalan Temenggung 19/9,",0,1,0,0,0,0
"Seksyen 9, Bandar Mahkota Cheras,",0,1,0,0,0,0
"43200 Cheras, Selangor",0,1,0,0,0,0
GST REG NO: 001335787520,0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
INV Ho.: 1169924 Cashier: Thandar,0,1,0,0,0,0
fate  : 01-08-2018 14:20:08,0,1,0,0,0,0
Oescription Qty  U.price Total TAX,0,0,1,0,0,0
Teh (Bì,0,0,0,1,0,0
2% 2.20 4.40 7RL,0,0,0,1,0,0
Take Away,0,0,0,1,0,0
2x 0.20 0.40 ZRL,0,0,0,0,1,0
Total Gfy: 4,0,0,0,0,1,0
Total (Excluding GST): 4.80,0,0,0,1,0,0
"Total -(Inelusive of GST): 4,80",0,0,0,1,0,0
TOTAL: 4.80,0,0,0,1,0,0
"CASH : 4,80",0,0,0,0,1,0
65T 8utinary Anlount(RM)  Tax(RM}),0,0,1,0,0,0
HH (@ 0%) 4.80 0.00,0,0,0,1,0,0
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,1,0,0,0,0,0
"NO.1, TaMAN SRI DENGKIL, JALAN AIR HITAM",0,1,0,0,0,0
"43800 DENGKIL, SELANGDR.",0,1,0,0,0,0
(ST Reg. No : 000670224384),0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
Table 23.,0,1,0,0,0,0
8i11# -V001-541021 0rder#; 141128,0,1,0,0,0,0
Date  : 23-06-2018 20:52:18,0,1,0,0,0,0
Cashier: 113 CASHIER Pax(s): 0,0,1,0,0,0,0
Qty  Description Total TAX,0,0,1,0,0,0
D 30.00 SR,0,0,0,1,0,0
Van Tten,0,0,0,1,0,0
D 30.00 §R,0,0,0,1,0,0
S.Soup lala Item (XL),0,0,0,1,0,0
D 77.00 SR,0,0,0,1,0,0
Fish Item,0,0,0,1,0,0
15.00 SR,0,0,0,0,1,0
Omellete Item,0,0,0,1,0,0
D 7.50 SR,0,0,0,1,0,0
white Rice,0,0,0,1,0,0
D 15.00 SR,0,0,0,0,1,0
Vege Item (M),0,0,0,1,0,0
D 6.00 SR,0,0,0,1,0,0
Beverage,0,0,0,1,0,0
Total (Excluding GST): 179.50,0,0,0,0,1,0
Total (inclusive of GST): 179.50,0,0,0,0,1,0
TOTAL: 179.50,0,0,0,0,1,0
Closed: 1 23-06-2010 21:29:23,0,1,0,0,0,0
Server: 113 CASHIER,0,1,0,0,0,0
"CASH : 179,50",0,1,0,0,0,0
GST Sumaary Amount(RM)  Tax(RM),0,1,0,0,0,0
§E (60%) 17950 0.00,0,0,0,1,0,0
t+ Thank You ##‡*,0,0,0,0,0,1
Please Come Again,0,0,0,0,0,1
RESTORAN WAN SHENG,1,0,0,0,0,0
002043319-W,0,1,0,0,0,0
"No.2, Jalan Temenggung 19/9,",0,1,0,0,0,0
"Seksyen 9, Bandar Mahkota Cheras,",0,1,0,0,0,0
"43200 Cheras, Selangor",0,1,0,0,0,0
GST REG NO: 001335787520,0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
INV No.: 1216991 Cashier: Nicole,0,1,0,0,0,0
Date : 29-06-2018 16:13:05,0,1,0,0,0,0
Description Qty  U.price Tota? TAX,0,1,0,0,0,0
Kopi 0 (ñ),0,0,0,1,0,0
"1x 2,00 2.00 ZRL",0,0,0,1,0,0
Pham (Rì,0,0,0,1,0,0
1x 2.10 2.10 ZRI.,0,0,0,1,0,0
Nescafe (B),0,0,0,1,0,0
"1x 2,50 2,b0 7RL",0,0,0,1,0,0
Take Auavw,0,0,0,1,0,0
"3x 0,20 0.80 7RL",0,0,0,1,0,0
Total QTY: 6,0,0,0,0,1,0
Yotal (Excluding GST): 7.20,0,0,0,0,1,0
Total (Inclusive of GST); 7.20,0,0,0,0,1,0
TOTAL : 7.20,0,0,0,0,1,0
CASH 3 7.20,0,0,0,0,1,0
GST Summary — — Amount(RM) Tax(RM),0,0,1,0,0,0
JRLU .. (0. - 720 0.00,0,0,0,1,0,0
Cashier: jam02 01/05/2018 2:30:10,0,1,0,0,0,0
Qty ProductCode UnitRM SubtotalRM &TaxCode,0,0,1,0,0,0
Description,0,1,0,0,0,0
80.00 80.00 SR,0,0,0,1,0,0
FRIED KAWPUNG CHICKEN (1 EKOR).,0,0,0,1,0,0
40.00 40.00 SR.,0,0,0,1,0,0
TORIYAM SEAI7OCD (MERAH),0,0,0,1,0,0
PGE 2000 20.01 SR,0,0,0,1,0,0
WATERMELON JUICE (BIG),0,0,0,1,0,0
Fan 2000 2000 SR.,0,0,0,1,0,0
ORANGE JUICE /BIG),0,0,0,1,0,0
21.00 21.00 SR,0,0,0,1,0,0
LALA GIILI ĐASTE (BỊ,0,0,0,1,0,0
380 1500 SR.,0,0,0,1,0,0
"MASI PUTIM,",0,0,0,1,0,0
84.00 8400 SR,0,0,0,1,0,0
‘BBO TALAPIA.,0,0,0,1,0,0
36.00 3900 SR,0,0,0,1,0,0
SOTONG STEAM LIME SAUCE,0,0,0,1,0,0
"€ựpạo, 15.00 800 SR",0,0,0,1,0,0
KACANS BOTOL B.PUTIH (B),0,0,0,1,0,0
T2B 1200 12.00 SR,0,0,0,1,0,0
TELUR. GORENG BAWANG (8),0,0,0,1,0,0
36.00 2800 SR,0,0,0,1,0,0
"BUTTER PRAWN (13),",0,0,0,1,0,0
SUBTOTAL: 371.00,0,0,0,0,1,0
NẸT SAILIS  : 371.00,0,0,0,0,1,0
"§SERVICE CHARGE 5X : 18,58",0,0,0,0,1,0
ST 0M CC 04 ag,0,0,0,0,1,0
Total 412.92,0,0,0,0,1,0
"Rounding Adj. : 0.02,",0,0,0,0,1,0
GRAND TOTAL: 412.80,0,0,0,0,1,0
VISA 412.90,0,0,0,0,1,0
GST CODE & %: Amount (RM): Tax (RM):,0,0,1,0,0,0
S6955 23.37,0,0,0,0,1,0
ZRL 0% A00 000,0,0,0,1,0,0
Thank You!,0,0,0,0,0,1
LAN HÌNG STATIONERY SDMN BEID,1,0,0,0,0,0
"NO.32 & 33, JALAN SR 1:9. SEKSYEN 9,",0,1,0,0,0,0
"43300 SER] KEMBANGAN, SELANGOR",0,1,0,0,0,0
GST ID : 002139201536,0,1,0,0,0,0
Tax Invoice,0,1,0,0,0,0
27/03/2018 No :CS:20243 _,0,1,0,0,0,0
Qty Tax RM,0,0,1,0,0,0
E/Castall 187087-75 'Tack-k 2 SR 12.00,0,0,0,1,0,0
75a- White (new) (@ 5.6600,0,0,0,1,0,0
"Total Amt Incl. GST @ 6""% : 1200",0,0,0,0,1,0
Rounding Adjustment:,0,0,0,0,1,0
'Total Amt Payable : 12.00,0,0,0,0,1,0
Paid Amount 20.00,0,0,0,0,1,0
Change: 8.00,0,0,0,0,1,0
Total Qty Tender :,0,0,0,0,1,0
‘GST Summary Amount Tax ,0,0,0,0,1,0
SR @ A  11.32  068:,0,0,0,0,1,0
Total  11.32  0.68 :,0,0,0,0,1,0
THANK YOU,0,0,0,0,0,1
"For any enquiry, please contact us:",0,0,0,0,0,1
THE OPERA,1,0,0,0,0,0
Sá 1 Trưng Yên 3 - Ngõ 67 Nguyễm,0,1,0,0,0,0
PappaRich BMC,1,0,0,0,0,0
NO.19 & 21,0,1,0,0,0,0
JALAN TEMENGGUNG 23/9.,0,1,0,0,0,0
BANDAR MAHKOTA CHERAS,0,1,0,0,0,0
"43200 SELANGDR DARUL EHSAN, MALAYSIA",0,1,0,0,0,0
TAX INVOICE,0,1,0,0,0,0
GST 1D:000164270080,0,1,0,0,0,0
| 2 COUNTER 2003 sai ful,0,1,0,0,0,0
Chk 276703 Guest |,0,1,0,0,0,0
29 Jun 18 06:01:34 PM,0,1,0,0,0,0
TBL35 / |,0,1,0,0,0,0
N22 SPRG NDL+sutcr E 9.34 §,0,0,0,1,0,0
R02 N’ LMK+cco+st E 20.88 §,0,0,0,1,0,0
D27 MILD (ï) E 5.19 §,0,0,0,1,0,0
031 MOCHA (IT) E 7.45 §,0,0,0,1,0,0
"CASH 58,80",0,0,0,0,1,0
42.64,0,0,0,0,1,0
Subtotal 42.64,0,0,0,0,1,0
10% Srv Chg 4.25,0,0,0,0,1,0
Total: 468.88,0,0,0,0,1,0
RND ADJ 0.01,0,0,0,0,1,0
TTL ATF RND 46.90,0,0,0,0,1,0
Payment 56.90,0,0,0,0,1,0
Change Due 10.00,0,0,0,0,1,0
---2003 CLOSED 29 Jun 18 06:25:04 PM-~-,0,1,0,0,0,0
THANK YOU! PLEASE COME AGAIN!,0,0,0,0,0,1
§=§ST 80%: 46.90 0.00,0,0,0,1,0,0
Z=GST @0%: 0.00 0.00,0,0,0,0,1,0
Crea er a hin,0,0,0,0,1,0
