sentence,rate,repay,tax,total,pay,text_money,discount
"| GIAMITIEN HB) -10,000.",0,0,0,0.0,0.0,0.0,1.0
"GIAM% MON 5% -1,750.",0,0,0,0.0,0.0,0.0,1.0
"Tiên mặt 480,000",0,0,0,1.0,0.0,0.0,0.0
Giảm giá: 0% = 0 VNĐ,0,0,0,0.0,0.0,0.0,1.0
Tổng: 85.000,0,0,0,1.0,0.0,0.0,0.0
"Khách đưa - 1,500,500",0,0,0,0.0,1.0,0.0,0.0
Rounded Total (RM): 9.00,0,0,0,1.0,0.0,0.0,0.0
TCONG,0,0,0,1.0,0.0,0.0,0.0
"KHÁCH ĐUA. 00,000",0,0,0,0.0,1.0,0.0,0.0
"T.CONG 4,0",0,0,0,1.0,0.0,0.0,0.0
SR @ 6% - 68. 87 4.13,0,0,0,0.0,0.0,0.0,1.0
"""Tang: 85.000",0,0,0,1.0,0.0,0.0,0.0
GIAM % MON,0,0,0,0.0,0.0,0.0,1.0
"TAM TINH 1,110,500",0,0,0,1.0,0.0,0.0,0.0
"Trả lại 289,075",0,1,0,0.0,0.0,0.0,0.0
Cash — 10.00,0,0,0,1.0,0.0,0.0,0.0
"T.GỘNG 6 58,000",0,0,0,1.0,0.0,0.0,0.0
"Tổng tiền: 328,000 VNĐ",0,0,0,1.0,0.0,0.0,0.0
"SỐ TIỀN THỐI LẠI 86,000",0,1,0,0.0,0.0,0.0,0.0
"Tiền mặt 97,000",0,0,0,1.0,0.0,0.0,0.0
"Thanh toán); 6,103:008",0,0,0,1.0,0.0,0.0,0.0
"Tổng: 130,000",0,0,0,1.0,0.0,0.0,0.0
"Tien Ban 735,000",0,0,0,1.0,0.0,0.0,0.0
"Tien khong thue 735,000",0,0,0,1.0,0.0,0.0,0.0
VAT,0,0,1,0.0,0.0,0.0,0.0
ROUNDING ADJUSTMENT RM 0.02,0,0,0,1.0,0.0,0.0,0.0
ROUNIDNG ADJUSTMENT RM 0.02,0,0,0,1.0,0.0,0.0,0.0
"T.CONG 34 1,118,000",0,0,0,1.0,0.0,0.0,0.0
95000,0,0,0,1.0,0.0,0.0,0.0
"Tiền hàng: 95,000",0,0,0,1.0,0.0,0.0,0.0
QUY DOI Usn,1,0,0,0.0,0.0,0.0,0.0
"SO TIEN THO! LAI 1,880",0,0,0,0.0,1.0,0.0,0.0
_Hàng khuyến mãi ˆ,0,0,0,0.0,0.0,0.0,1.0
SÓ TIỀN KHÁCH ĐƯA,0,0,0,0.0,1.0,0.0,0.0
